"word","in documents","total"
"astrologija",1.0,2.0
"astrologija_alpha",1.0,1.0
"astrologija_je",1.0,1.0
"atentat",1.0,1.0
"atentat_na",1.0,1.0
"autizam",1.0,1.0
"autizam_balkan",1.0,1.0
"autobiografska",1.0,1.0
"autobiografska_pesma",1.0,1.0
"autonomous",1.0,1.0
"autonomous_province",1.0,1.0
"avantura",1.0,1.0
"avantura_intervju",1.0,1.0
"avion",1.0,3.0
"avion_djordje",1.0,1.0
"avion_f",1.0,1.0
"avion_rusenje",1.0,1.0
"aviona",1.0,1.0
"aviona_f",1.0,1.0
"ayahuasca",1.0,1.0
"ayahuasca_shipibo",1.0,1.0
"azaric",1.0,1.0
"azaric_????",1.0,1.0
"azari?",1.0,2.0
"azari?_alen",1.0,1.0
"azari?_prirodna",1.0,1.0
"azilanata",1.0,2.0
"azilanata_azilanti",1.0,1.0
"azilanata_dejan",1.0,1.0
"azilanti",1.0,11.0
"azilanti_arapi",1.0,2.0
"azilanti_ce",1.0,2.0
"azilanti_iz",1.0,2.0
"azilanti_misle",1.0,1.0
"azilanti_u",1.0,1.0
"azilanti_zmago",1.0,3.0
"azilantima",1.0,2.0
"azilantima_u",1.0,1.0
"azilantima_ujedinjenje",1.0,1.0
"b_djordjevic",1.0,1.0
"b_?or?evi?",1.0,2.0
"babken",1.0,7.0
"babken_simonjan",1.0,7.0
"babu",1.0,4.0
"babu_velja",1.0,4.0
"bad_copy",1.0,1.0
"bager",1.0,1.0
"bager_ljubisa",1.0,1.0
"bagerista",1.0,5.0
"bagerista_dzo",1.0,1.0
"bagerista_oktobar",1.0,1.0
"bagerista_peti",1.0,1.0
"bagerista_razo?arao",1.0,1.0
"bagerista_??",1.0,1.0
"bakic",1.0,15.0
"bakic_bodibilding",1.0,1.0
"bakic_farma",1.0,1.0
"bakic_fitness",1.0,1.0
"bakic_goli",1.0,1.0
"bakic_intervju",1.0,2.0
"bakic_lepomir",1.0,1.0
"bakic_najnovije",1.0,2.0
"bakic_razocaran",1.0,1.0
"bakic_sasa",1.0,1.0
"bakic_tomislav",1.0,1.0
"bakic_utisak",1.0,1.0
"bakic_vucic",1.0,1.0
"bakic_????",1.0,1.0
"baki?",1.0,4.0
"baki?_jovo",1.0,1.0
"baki?_razo?aran",1.0,1.0
"baki?_vu?i?",1.0,1.0
"baki?_???????",1.0,1.0
"bakocevic",1.0,2.0
"bakocevic_mma",1.0,1.0
"bakocevic_vaso",1.0,1.0
"bako?evi?",1.0,3.0
"bako?evi?_uvek",1.0,1.0
"bako?evi?_vaso",1.0,2.0
"balada",1.0,4.0
"balada_disidenta",1.0,4.0
"baletic",1.0,15.0
"baletic_balkan",1.0,2.0
"baletic_goli",1.0,2.0
"baletic_intervju",1.0,3.0
"baletic_milijana",1.0,3.0
"baletic_najnovije",1.0,2.0
"baletic_potpuno",1.0,1.0
"baletic_srpski",1.0,2.0
"baleti?",1.0,4.0
"baleti?_izdaja",1.0,1.0
"baleti?_srpski",1.0,1.0
"baleti?_????????",1.0,2.0
"balkan",1.0,1104.0
"balkan_info",1.0,1048.0
"balkan_?????",1.0,1.0
"balkan_????????????",1.0,55.0
"balkana",1.0,1.0
"balkana_balkan",1.0,1.0
"balkanom",1.0,3.0
"balkanom_intervju",1.0,1.0
"balkanom_montevideo",1.0,1.0
"balkanom_su",1.0,1.0
"balkanski",1.0,3.0
"balkanski_kartel",1.0,2.0
"balkanski_ratnik",1.0,1.0
"balkanu",1.0,13.0
"balkanu_azilanti",1.0,1.0
"balkanu_balkan",1.0,4.0
"balkanu_dokumentarne",1.0,1.0
"balkanu_je",1.0,1.0
"balkanu_još",1.0,1.0
"balkanu_ne",1.0,1.0
"balkanu_postoji",1.0,3.0
"balkanu_uvek",1.0,1.0
"bande",1.0,5.0
"bande_balkan",1.0,1.0
"bande_duci",1.0,3.0
"bande_koje",1.0,1.0
"banditosi",1.0,1.0
"banditosi_ili",1.0,1.0
"bane",1.0,3.0
"bane_trifunovic",1.0,1.0
"bane_trifunovi?",1.0,2.0
"bankari",1.0,1.0
"bankari_odlu?uju",1.0,1.0
"bara",1.0,1.0
"bara_puna",1.0,1.0
"bard",1.0,9.0
"bard_milan",1.0,4.0
"bard_naše",1.0,1.0
"bard_zivadinovic",1.0,4.0
"baruta",1.0,1.0
"baruta_sprema",1.0,1.0
"basketball",1.0,4.0
"basketball_player",1.0,4.0
"batan",1.0,3.0
"batan_bogicevic",1.0,1.0
"batan_bogi?evi?",1.0,2.0
"bato",1.0,9.0
"bato_intervju",1.0,3.0
"bato_miroljub",1.0,6.0
"baš_svi",1.0,1.0
"becic",1.0,5.0
"becic_aleksa",1.0,1.0
"becic_crna",1.0,1.0
"becic_demokrate",1.0,1.0
"becic_intervju",1.0,1.0
"becic_najnovije",1.0,1.0
"beckovic",1.0,3.0
"beckovic_seselj",1.0,3.0
"bee_gee",1.0,1.0
"bela",1.0,4.0
"bela_kuga",1.0,1.0
"bela_ladja",1.0,2.0
"bela_la?a",1.0,1.0
"beli",1.0,12.0
"beli_do",1.0,1.0
"beli_luka",1.0,2.0
"beli_mladenovac",1.0,2.0
"beli_orlovi",1.0,3.0
"beli_precednik",1.0,1.0
"beli_samo",1.0,2.0
"beli_??????",1.0,1.0
"belog",1.0,1.0
"belog_i",1.0,1.0
"beograd",1.0,5.0
"beograd_aleksandar",1.0,3.0
"beograd_ayahuasca",1.0,1.0
"beograd_kresimir",1.0,1.0
"beograda",1.0,6.0
"beograda_beogradski",1.0,2.0
"beograda_fedja",1.0,2.0
"beograda_gradonacelnik",1.0,1.0
"beograda_?????????????",1.0,1.0
"beogradski",1.0,33.0
"beogradski_dileri",1.0,1.0
"beogradski_sindikat",1.0,32.0
"beogradsko",1.0,1.0
"beogradsko_podzemlje",1.0,1.0
"beogradskog",1.0,1.0
"beogradskog_asfalta",1.0,1.0
"beric",1.0,13.0
"beric_donjecka",1.0,1.0
"beric_intervju",1.0,2.0
"beric_najnovije",1.0,2.0
"beric_novorusija",1.0,1.0
"beric_pocuca",1.0,1.0
"beric_snajper",1.0,1.0
"beric_snajperista",1.0,1.0
"beric_srpski",1.0,1.0
"beric_vucic",1.0,1.0
"beric_zahar",1.0,1.0
"beric_?????",1.0,1.0
"beri?",1.0,2.0
"beri?_dejan",1.0,1.0
"beri?_kosovo",1.0,1.0
"bernard",1.0,8.0
"bernard_ljubas",1.0,8.0
"bes_u",1.0,1.0
"bespomo?an",1.0,1.0
"bespomo?an_i",1.0,1.0
"bez_kosova",1.0,1.0
"bez_sikiracije",1.0,1.0
"bez_suzbijanja",1.0,1.0
"bez_?asti",1.0,1.0
"bezbednosti",1.0,1.0
"bezbednosti_prate",1.0,1.0
"beznadju",1.0,1.0
"beznadju_marko",1.0,1.0
"bezna?e",1.0,1.0
"bezna?e_moramo",1.0,1.0
"bezna?u",1.0,1.0
"bezna?u_marko",1.0,1.0
"bezumlja",1.0,1.0
"bezumlja_na",1.0,1.0
"be?i?",1.0,2.0
"be?i?_milo",1.0,1.0
"be?i?_??????",1.0,1.0
"beže",1.0,1.0
"beže_iz",1.0,1.0
"beži",1.0,1.0
"beži_od",1.0,1.0
"bi_do",1.0,1.0
"bi_nam",1.0,1.0
"bi_postigli",1.0,1.0
"bi_sa?uvala",1.0,1.0
"bi_sa?uvali",1.0,2.0
"bi_trebalo",1.0,1.0
"bi_vu?i?",1.0,1.0
"bicikl",1.0,1.0
"bicikl_avantura",1.0,1.0
"biciklu",1.0,1.0
"biciklu_i",1.0,1.0
"bicu",1.0,6.0
"bicu_kengur",1.0,6.0
"bih_opet",1.0,1.0
"bih_voleo",1.0,1.0
"bikovic",1.0,1.0
"bikovic_?????",1.0,1.0
"bikovi?",1.0,2.0
"bikovi?_milos",1.0,1.0
"bikovi?_tragedija",1.0,1.0
"bila",1.0,4.0
"bila_elitna",1.0,1.0
"bila_ispružena",1.0,1.0
"bila_jaka",1.0,1.0
"bila_je",1.0,1.0
"bilanovic",1.0,8.0
"bilanovic_ajuaska",1.0,1.0
"bilanovic_aleksandar",1.0,1.0
"bilanovic_dripacka",1.0,1.0
"bilanovic_dzungla",1.0,1.0
